city,country,pub_location
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Havana,Cuba,"Havana, Cuba"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
London,England,"London, England"
Toronto,Canada,"Toronto, Canada"
Wildey,Barbados,"Wildey, Barbados"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Pictou,Canada,"Pictou, Canada"
Pictou,Canada,"Pictou, Canada"
Bridgetown,Barbados,"Bridgetown, Barbados"
Matoury,French Guiana,"Matoury, French Guiana"
Pointe-À-Pitre,Guadeloupe,"Pointe-À-Pitre, Guadeloupe"
Paris,France,"Paris, France"
La Vergne,United States,"La Vergne, United States"
Charlottesville,United States,"Charlottesville, United States"
"New York, NY",United States,"New York, NY, United States"
Eastbourne,England,"Eastbourne, England"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Haarlem,Netherlands,"Haarlem, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Haarlem,Netherlands,"Haarlem, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Manhattan,United States,"Manhattan, United States"
London,England,"London, England"
Oxford,England,"Oxford, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Basse-Terre,Guadeloupe,"Basse-Terre, Guadeloupe"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
"Boulder, CO",United States,"Boulder, CO, United States"
London,England,"London, England"
Köln,Germany,"Köln, Germany"
Berlin Verl,Germany,"Berlin Verl, Germany"
Roma,Italy,"Roma, Italy"
Oslo,Norway,"Oslo, Norway"
Barcelona,Spain,"Barcelona, Spain"
"Washington, DC",United States,"Washington, DC, United States"
Barcelona,Spain,"Barcelona, Spain"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
München,Germany,"München, Germany"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Murska Sobota,Slovenia,"Murska Sobota, Slovenia"
Oslo,Norway,"Oslo, Norway"
"Washington, DC",United States,"Washington, DC, United States"
Barcelona,Spain,"Barcelona, Spain"
Helsingissä Hki,Finland,"Helsingissä Hki, Finland"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Penhook,United States,"Penhook, United States"
Penhook,United States,"Penhook, United States"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Messina,Italy,"Messina, Italy"
"Seattle, WA",United States,"Seattle, WA, United States"
"New York, NY",United States,"New York, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Bloomington,United States,"Bloomington, United States"
Oxford,England,"Oxford, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Sebastopol,United States,"Sebastopol, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Cambridge,England,"Cambridge, England"
Cambridge,England,"Cambridge, England"
Cambridge,England,"Cambridge, England"
Cambridge,England,"Cambridge, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Leiden,Netherlands,"Leiden, The Netherlands"
Speightstown,Barbados,"Speightstown, Barbados"
Kingston,Jamaica,"Kingston, Jamaica"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Bloomington,United States,"Bloomington, United States"
Paris,France,"Paris, France"
Mexico City,Mexico,"Mexico City, Mexico"
Chicago,United States,"Chicago, United States"
"Seattle, WA",United States,"Seattle, WA, United States"
"Seattle, WA",United States,"Seattle, WA, United States"
NA,NA,"NA, NA"
"Chicago, IL",United States,"Chicago, IL, United States"
"Chicago, IL",United States,"Chicago, IL, United States"
"Seattle, WA",United States,"Seattle, WA, United States"
"Seattle, WA",United States,"Seattle, WA, United States"
"Chicago, IL",United States,"Chicago, IL, United States"
"Seattle, WA",United States,"Seattle, WA, United States"
Castries,St. Lucia,"Castries, St. Lucia"
"Bloomington, IN",United States,"Bloomington, IN, United States"
Delaware,United States,"Delaware, United States"
Amsterdam,Neverlands,"Amsterdam, Neverlands"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Barcelona,Spain,"Barcelona, Spain"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Düsseldorf,Germany,"Düsseldorf, Germany"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Oslo,Norway,"Oslo, Norway"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Montréal,Canada,"Montréal, Canada"
München,Germany,"München, Germany"
Casale Monferrato,Italy,"Casale Monferrato, Italy"
Casale Monferrato,Italy,"Casale Monferrato, Italy"
Oslo,Norway,"Oslo, Norway"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Holon,Israel,"Holon, Israel"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
München,Germany,"München, Germany"
Barcelona,Spain,"Barcelona, Spain"
London,England,"London, England"
Budapest,Hungary,"Budapest, Hungary"
Paris,France,"Paris, France"
Tokyo,Japan,"Tokyo, Japan"
Stockholm,Sweden,"Stockholm, Sweden"
Jyväskylä,Finland,"Jyväskylä, Finland"
Tel Aviv,Israel,"Tel Aviv, Israel"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Newark,United States,"Newark, United States"
"Washington, DC",United States,"Washington, DC, United States"
Georgetown,Guyana,"Georgetown, Guyana"
Georgetown,Guyana,"Georgetown, Guyana"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Paris,France,"Paris, France"
Tokyo,Japan,"Tokyo, Japan"
Oxford,England,"Oxford, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
"Portland, OR",United States,"Portland, OR, United States"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Portland,United States,"Portland, United States"
Lexington,United States,"Lexington, United States"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Portland,United States,"Portland, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Paris,France,"Paris, France"
London,England,"London, England"
Schleswig-Holstein,Germany,"Schleswig-Holstein, Germany"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Los Angeles, CA",United States,"Los Angeles, CA, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
Habana,Cuba,"Habana, Cuba"
Amsterdam,Neverlands,"Amsterdam, Neverlands"
Amsterdam,Neverlands,"Amsterdam, Neverlands"
Amsterdam,Neverlands,"Amsterdam, Neverlands"
Amsterdam,Neverlands,"Amsterdam, Neverlands"
Staten Island,United States,"Staten Island, United States"
Simsbury,United States,"Simsbury, United States"
Simsbury,United States,"Simsbury, United States"
Fort-de France,Martinique,"Fort-de France, Marinique"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Montréal,Canada,"Montréal, Canada"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Havana,Cuba,"Havana, Cuba"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Havana,Cuba,"Havana, Cuba"
Montevideo,Uraguay,"Montevideo, Uraguay"
Montevideo,Uraguay,"Montevideo, Uraguay"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Hanover,United States,"Hanover, United States"
Cambridge,United States,"Cambridge, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic"
Santo Domingo,Dominican Republic,"Santo Domingo, Dominican Republic"
Kingston,Jamaica,"Kingston, Jamaica"
Havana,Cuba,"Havana, Cuba"
Bogota,Colombia,"Bogota, Colombia"
Le Lamentin,Martinique,"Le Lamentin, Martinique"
Glasglow,Scotland,"Glasglow, Scotland"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
Peterborough,Canada,"Peterborough, Canada"
Lewiston,United States,"Lewiston, United States"
Roseau,Dominica,"Roseau, Dominica"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Bridgetown,Barbados,"Bridgetown, Barbados"
Bloomington,United States,"Bloomington, United States"
Matoury,French Guiana,"Matoury, French Guiana"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
"Long Grove, IL",United States,"Long Grove, IL, United States"
"Long Grove, IL",United States,"Long Grove, IL, United States"
London,England,"London, England"
Halifax,Canada,"Halifax, Canada"
Paris,France,"Paris, France"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Hamilton,Bermuda,"Hamilton, Bermuda"
Paris,France,"Paris, France"
Ohio,United States,"Ohio, United States"
Ohio,United States,"Ohio, United States"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
"New York, NY",United States,"New York, NY, United States"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Cardiff,Wales,"Cardiff, Wales"
Scotts Valley,United States,"Scotts Valley, United States"
"Atlanta, GA",United States,"Atlanta, GA, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Montréal,Canada,"Montréal, Canada"
Burton,United States,"Burton, United States"
London,England,"London, England"
Havana,Cuba,"Havana, Cuba"
"San Francisco, CA",United States,"San Francisco, CA, United States"
"San Francisco, CA",United States,"San Francisco, CA, United States"
"New York, NY",United States,"New York, NY, United States"
Milan,Italy,"Milan, Italy"
Havana,Cuba,"Havana, Cuba"
"New York, NY",United States,"New York, NY, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Santiago,Cuba,"Santiago, Cuba"
Havana,Cuba,"Havana, Cuba"
Matanzas,Cuba,"Matanzas, Cuba"
Havana,Cuba,"Havana, Cuba"
"San Francisco, CA",United States,"San Francisco, CA, United States"
Milan,Italy,"Milan, Italy"
NA,NA,"NA, NA"
Honfleur,Frane,"Honfleur, Frane"
Aarhus,Denmark,"Aarhus, Denmark"
Havana,Cuba,"Havana, Cuba"
Leatherhead,England,"Leatherhead, England"
Liverpool,England,"Liverpool, England"
"Vancouver, BC",Canada,"Vancouver, BC, Canada"
Oxford,England,"Oxford, England"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Paris,France,"Paris, France"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
La Roque-d'Anthéron,France,"La Roque-d'Anthéron, France"
La Roque-d'Anthéron,France,"La Roque-d'Anthéron, France"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Harlow,England,"Harlow, England"
"Cleveland, OH",United States,"Cleveland, OH, United States"
Rijswijk,Netherlands,"Rijswijk, Netherlands"
Paris,France,"Paris, France"
Leeds,England,"Leeds, England"
London,England,"London, England"
McHenry,United States,"McHenry, United States"
Valencia,Spain,"Valencia, Spain"
Bethesda,United States,"Bethesda, United States"
Paris,France,"Paris, France"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
"Greenville, SC",United States,"Greenville, SC, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
"New York, NY",United States,"New York, NY, United States"
Manhattan,United States,"Manhattan, United States"
Matoury,Guyana,"Matoury, Guyana"
Matoury,Guyana,"Matoury, Guyana"
"New York, NY",United States,"New York, NY, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
"Holiday, FL",United States,"Holiday, FL, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
Santiago,Cuba,"Santiago, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Pinar del Río,Cuba,"Pinar del Río, Cuba"
Havana,Cuba,"Havana, Cuba"
Guayaquil,Ecuador,"Guayaquil, Ecuador"
Havana,Cuba,"Havana, Cuba"
Holguín,Cuba,"Holguín, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Pinar del Río,Cuba,"Pinar del Río, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Guayaquil,Ecuador,"Guayaquil, Ecuador"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Bogota,Colombia,"Bogota, Colombia"
Ciego de Ávila,Cuba,"Ciego de Ávila, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
Havana,Cuba,"Havana, Cuba"
Leiden,Netherlands,"Leiden, Netherlands"
Havana,Cuba,"Havana, Cuba"
Puebla,Mexico,"Puebla, Mexico"
Camaguey,Cuba,"Camaguey, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Paraná,Brazil,"Paraná, Brazil"
"Holiday, FL",United States,"Holiday, FL, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Oxfordshire,England,"Oxfordshire, England"
Guilin,China,"Guilin, China"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Willimantic,United States,"Willimantic, United States"
Willimantic,United States,"Willimantic, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY , United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Copenhagen,Denmark,"Copenhagen, Denmark"
Leeds,England,"Leeds, England"
"Miami, FL",United States,"Miami, FL, United States"
Leeds,England,"Leeds, England"
Oxford,England,"Oxford, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Oxford,England,"Oxford, England"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
"Miami, FL",United States,"Miami, FL, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad and Tobago"
London,England,"London, England"
Basingstoke,England,"Basingstoke, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
Göttingen,Germany,"Göttingen, Germany"
Göttingen,Germany,"Göttingen, Germany"
Basingstoke,England,"Basingstoke, England"
London,England,"London, England"
Basingstoke,England,"Basingstoke, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Cleveland, OH",United States,"Cleveland, OH, United States"
Charles Village,United States,"Charles Village, United States"
Paris,France,"Paris, France"
"Baltimore, MD",United States,"Baltimore, MD, United States"
London,England,"London, England"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
NA,NA,"NA, NA"
NA,NA,"NA, NA"
Toronto,Canada,"Toronto, Canada"
"New Brunswick, NJ",United States,"New Brunswick, NJ, United States"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
Madrid,Spain,"Madrid, Spain"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
NA,NA,"NA, NA"
Kingston,Jamaica,"Kingston, Jamaica"
Oxford,England,"Oxford, England"
London,England,"London, England"
London,England,"London, England"
Scotts Valley,United States,"Scotts Valley, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Buenos Aires,Argentina,"Buenos Aires, Argentina"
Havana,Cuba,"Havana, Cuba"
"San Antonio, TX",United States,"San Antonio, TX, United States"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Fort-de-France,Martinique,"Fort-de-France, Martinique"
Roseau,Dominica,"Roseau, Dominica"
Kingston,Jamaica,"Kingston, Jamaica"
"New York, NY",United States,"New York, NY, United States"
Surrey,England,"Surrey, England"
"Boulder, CO",United States,"Boulder, CO, United States"
Woodbridge,United States,"Woodbridge, United States"
Oxford,England,"Oxford, England"
Kourou,French Guiana,"Kourou, French Guiana"
Jupiter,United States,"Jupiter, United States"
Leeds,England,"Leeds, England"
Kingston,Jamaica,"Kingston, Jamaica"
Aarhus,Denmark,"Aarhus, Denmark"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Austin,United States,"Austin, United States"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
"Greenville, SC",United States,"Greenville, SC, United States"
Westminster,England,"Westminster, England"
"New York, NY",United States,"New York, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
London,England,"London, England"
Montreal,Canada,"Montreal, Canada"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Oxford,England,"Oxford, England"
Madrid,Spain,"Madrid, Spain"
Havana,Cuba,"Havana, Cuba"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
