city,country,Pub Location
Castries,St. Lucia,"Castries, St. Lucia"
Havana,Cuba,"Havana, Cuba"
Nürnberg,Germany,"Nürnberg, Germany"
Homebush West,Australia,"Homebush West, Australia"
Ontario,Canada,"Ontario, Canada"
"Boston, MA",United States,"Boston, MA, United States"
Cambridge,England,"Cambridge, England"
Mona,Jamaica,"Mona, Jamaica"
Albuquerque,United States,"Albuquerque, United States"
Amherst,United States,"Amherst, United States"
Hanover,United States,"Hanover, United States"
San Juan,Puerto Rico,"San Juan, Puerto Rico"
Michigan,United States,"Michigan, United States"
St. Augustine,Trinidad & Tobago,"St. Augustine, Trinidad & Tobago"
"Tulsa, OK",United States,"Tulsa, OK, United States"
Bloomington,United States,"Bloomington, United States"
Milan,Italy,"Milan, Italy"
Toronto,Canada,"Toronto, Canada"
Basseterre,St. Kitts & Nevis,"Basseterre, St. Kitts & Nevis"
Geneva,Switzerland,"Geneva, Switzerland"
Havana,Spain,"Havana, Spain"
Seville,Spain,"Seville, Spain"
Vedado,Cuba,"Vedado, Cuba"
Rosario,Argentina,"Rosario, Argentina"
Bogotá,Columbia,"Bogotá, Columbia"
"Alexandria, VA",United States,"Alexandria, VA, United States"
Sana Cruz,Trinidad & Tobago,"Sana Cruz, Trinidad & Tobago"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
"Madison, WI",United States,"Madison, WI, United States"
"Ann Arbor, MI",United States,"Ann Arbor, MI, United States"
"Middletown, CT",United States,"Middletown, CT, United States"
"Providence, RI",United States,"Providence, RI, United States"
Philipsburg,St. Maarten,"Philipsburg, St. Maarten"
Cave Hill,Barbados,"Cave Hill, Barbados"
Ann Arbor,United States,"Ann Arbor, United States"
Baltimore,United States,"Baltimore, United States"
Norman,United States,"Norman, United States"
Hudson,United States,"Hudson, United States"
Bremen,Germany,"Bremen, Germany"
Harlow,England,"Harlow, England"
Ealing,England,"Ealing, England"
Leuven,Belgium,"Leuven, Belgium"
Plounéour-Ménez,France,"Plounéour-Ménez, France"
"Montréal, QC",Canada,"Montréal, QC, Canada"
Cromer,England,"Cromer, England"
Staten Island,United States,"Staten Island, United States"
Springfield,United States,"Springfield, United States"
Lanham,United States,"Lanham, United States"
St. Clair,Trinidad & Tobago,"St. Clair, Trinidad & Tobago"
Leicester,England,"Leicester, England"
"Montréal, QC",Canada,"Montréal, QC, Canada"
Kourou,French Guiana,"Kourou, French Guiana"
Montevideo,Uraguay,"Montevideo, Uraguay"
Berkeley,United States,"Berkeley, United States"
Bogota,Colombia,"Bogota, Colombia"
NA,Spain,"NA, Spain"
São Paulo,Brazil,"São Paulo, Brazil"
Esplugues de Llobregat,Spain,"Esplugues de Llobregat, Spain"
Georgetown,Guyana,"Georgetown, Guyana"
Manchester,England,"Manchester, England"
"Berkley, CA",United States,"Berkley, CA, United States"
Bukarest,Romania,"Bukarest, Romania"
"San Francisco, CA",United States,"San Francisco, CA, United States"
Tulsa,United States,"Tulsa, United States"
Palermo,Italy,"Palermo, Italy"
Poitiers,France,"Poitiers, France"
Tres Cantos,Spain,"Tres Cantos, Spain"
"Lutz, FL",United States,"Lutz, FL, United States"
Tafalla,Spain,"Tafalla, Spain"
Santiago,Chile,"Santiago, Chile"
"Chapel Hill, NC",United States,"Chapel Hill, NC, United States"
Matoury,French Guiana,"Matoury, French Guiana"
"Oakland, CA",United States,"Oakland, CA, United States"
Fort-de-France,Martinique,"Fort-de-France, Martinique"
"Charlottesville, VA",United States,"Charlottesville, VA, United States"
Munich,Germany,"Munich, Germany"
Hexham,England,"Hexham, England"
"Stanford, CA",United States,"Stanford, CA, United States"
"Pasadena, CA",United States,"Pasadena, CA, United States"
"Durham, NC",England,"Durham, NC, England"
"Lincoln, NE",United States,"Lincoln, NE, United States"
Waterloo,Canada,"Waterloo, Canada"
"Urbana, IL",United States,"Urbana, IL, United States"
"Somerville, MA",United States,"Somerville, MA, United States"
Vigo,Spain,"Vigo, Spain"
Markham,Canada,"Markham, Canada"
Don Mills,Canada,"Don Mills, Canada"
Dublin,Ireland,"Dublin, Ireland"
Wildey,Barbados,"Wildey, Barbados"
Pictou,Canada,"Pictou, Canada"
Pointe-À-Pitre,Guadeloupe,"Pointe-À-Pitre, Guadeloupe"
"New York, NY",United States,"New York, NY, United States"
Haarlem,Netherlands,"Haarlem, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Manhattan,United States,"Manhattan, United States"
"Boulder, CO",United States,"Boulder, CO, United States"
Köln,Germany,"Köln, Germany"
Berlin Verl,Germany,"Berlin Verl, Germany"
Roma,Italy,"Roma, Italy"
Oslo,Norway,"Oslo, Norway"
München,Germany,"München, Germany"
Murska Sobota,Slovenia,"Murska Sobota, Slovenia"
Helsingissä Hki,Finland,"Helsingissä Hki, Finland"
Penhook,United States,"Penhook, United States"
Messina,Italy,"Messina, Italy"
"Seattle, WA",United States,"Seattle, WA, United States"
Sebastopol,United States,"Sebastopol, United States"
Speightstown,Barbados,"Speightstown, Barbados"
Chicago,United States,"Chicago, United States"
"Chicago, IL",United States,"Chicago, IL, United States"
Delaware,United States,"Delaware, United States"
Amsterdam,Neverlands,"Amsterdam, Neverlands"
Düsseldorf,Germany,"Düsseldorf, Germany"
Montréal,Canada,"Montréal, Canada"
Casale Monferrato,Italy,"Casale Monferrato, Italy"
Holon,Israel,"Holon, Israel"
Budapest,Hungary,"Budapest, Hungary"
Stockholm,Sweden,"Stockholm, Sweden"
Jyväskylä,Finland,"Jyväskylä, Finland"
Tel Aviv,Israel,"Tel Aviv, Israel"
Newark,United States,"Newark, United States"
Diego Martin,Trinidad & Tobago,"Diego Martin, Trinidad & Tobago"
"Portland, OR",United States,"Portland, OR, United States"
Portland,United States,"Portland, United States"
"Lexington, MA",United States,"Lexington, MA, United States"
Schleswig-Holstein,Germany,"Schleswig-Holstein, Germany"
"Los Angeles, CA",United States,"Los Angeles, CA, United States"
Simsbury,United States,"Simsbury, United States"
Fort-de France,Martinique,"Fort-de France, Martinique"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
Cambridge,United States,"Cambridge, United States"
Le Lamentin,Martinique,"Le Lamentin, Martinique"
Peterborough,Canada,"Peterborough, Canada"
Lewiston,United States,"Lewiston, United States"
Roseau,Dominica,"Roseau, Dominica"
"Long Grove, IL",United States,"Long Grove, IL, United States"
Hamilton,Bermuda,"Hamilton, Bermuda"
Cardiff,Wales,"Cardiff, Wales"
Scotts Valley,United States,"Scotts Valley, United States"
Burton,United States,"Burton, United States"
Santiago,Cuba,"Santiago, Cuba"
Matanzas,Cuba,"Matanzas, Cuba"
Honfleur,Frane,"Honfleur, Frane"
Aarhus,Denmark,"Aarhus, Denmark"
Leatherhead,England,"Leatherhead, England"
Liverpool,England,"Liverpool, England"
La Roque-d'Anthéron,France,"La Roque-d'Anthéron, France"
Rijswijk,Netherlands,"Rijswijk, Netherlands"
Matoury,Guyana,"Matoury, Guyana"
"Holiday, FL",United States,"Holiday, FL, United States"
Pinar del Río,Cuba,"Pinar del Río, Cuba"
Guayaquil,Ecuador,"Guayaquil, Ecuador"
Holguín,Cuba,"Holguín, Cuba"
Leiden,Netherlands,"Leiden, Netherlands"
Puebla,Mexico,"Puebla, Mexico"
Camaguey,Cuba,"Camaguey, Cuba"
Paraná,Brazil,"Paraná, Brazil"
Oxfordshire,England,"Oxfordshire, England"
Willimantic,United States,"Willimantic, United States"
Copenhagen,Denmark,"Copenhagen, Denmark"
Basingstoke,England,"Basingstoke, England"
Göttingen,Germany,"Göttingen, Germany"
"Cleveland, OH",United States,"Cleveland, OH, United States"
Charles Village,United States,"Charles Village, United States"
"San Antonio, TX",United States,"San Antonio, TX, United States"
Surrey,England,"Surrey, England"
Woodbridge,United States,"Woodbridge, United States"
Jupiter,United States,"Jupiter, United States"
Austin,United States,"Austin, United States"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
Basseterre,St. Kitts,"Basseterre, St. Kitts"
Largo,United States,"Largo, United States"
"Fairfax, VA",United States,"Fairfax, VA, United States"
San Juan,Trinidad & Tobago,"San Juan, Trinidad & Tobago"
The Morne,St. Lucia,"The Morne, St. Lucia"
"Evanston, IL",United States,"Evanston, IL, United States"
Melbourne,Australia,"Melbourne, Australia"
"Baltimore, MD",United States,"Baltimore, MD, United States"
San Fernando,Trinidad & Tobago,"San Fernando, Trinidad & Tobago"
Portsmouth,Dominica,"Portsmouth, Dominica"
Jackson,United States,"Jackson, United States"
Walton-on-Thames,England,"Walton-on-Thames, England"
Oakland,United States,"Oakland, United States"
Old Saybrook,United States,"Old Saybrook, United States"
Modena,Italy,"Modena, Italy"
Burbank,United States,"Burbank, United States"
Chengdu,China,"Chengdu, China"
"Thousand Oaks, CA",United States,"Thousand Oaks, CA, United States"
Crows Nest,Australia,"Crows Nest, Australia"
Carlsbad,United States,"Carlsbad, United States"
Tunapuna,Trinidad & Tonbago,"Tunapuna, Trinidad & Tonbago"
Parker,United States,"Parker, United States"
Portsmouth,United States,"Portsmouth, United States"
Wilmore,United States,"Wilmore, United States"
D'Abadie,Trinidad & Tobago,"D'Abadie, Trinidad & Tobago"
Peterborough,England,"Peterborough, England"
Tunapuna,Trinidad & Tobago,"Tunapuna, Trinidad & Tobago"
"Westminster, LDN",England,"Westminster, LDN, England"
NA,France,"NA, France"
Pretoria,South Africa,"Pretoria, South Africa"
"Philadelphia, PA",United States,"Philadelphia, PA, United States"
"Clarion, PA",United States,"Clarion, PA, United States"
"Lehigh Acres, FL",United States,"Lehigh Acres, FL, United States"
"Kansas City, MO",United States,"Kansas City, MO, United States"
Osnabrück,Germany,"Osnabrück, Germany"
"Scott's Valley, CA",United States,"Scott's Valley, CA, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Concord,Canada,"Concord, Canada"
Caernarfon,Wales,"Caernarfon, Wales"
"Portsmouth, NH",United States,"Portsmouth, NH, United States"
Brisbane,Australia,"Brisbane, Australia"
"Rochester, NY",United States,"Rochester, NY, United States"
"Warners Bay, N.S.W.",Australia,"Warners Bay, N.S.W., Australia"
"Hauppauge, NY",United States,"Hauppauge, NY, United States"
"Manchester,UK",England,"Manchester,UK, England"
"Farnham, UK",England,"Farnham, UK, England"
Saarbrücken,Germany,"Saarbrücken, Germany"
Il-Blata l-Bajda,Malta,"Il-Blata l-Bajda, Malta"
"Markham, ON",Canada,"Markham, ON, Canada"
Aylesbury,England,"Aylesbury, England"
"Concord, ON",Canada,"Concord, ON, Canada"
Canberra,Australia,"Canberra, Australia"
"Rockville, MD",United States,"Rockville, MD, United States"
"Mahwah, NJ",United States,"Mahwah, NJ, United States"
"Bothell, WA",United States,"Bothell, WA, United States"
"San Diego, CA",United States,"San Diego, CA, United States"
"Morrisville, NC",United States,"Morrisville, NC, United States"
"Hoboken, NJ",United States,"Hoboken, NJ, United States"
"Red Bank, NJ",United States,"Red Bank, NJ, United States"
Bristol,England,"Bristol, England"
NA,Trinidad & Tobago,"NA, Trinidad & Tobago"
"Greenville, NC",United States,"Greenville, NC, United States"
"Crawley, SX",England,"Crawley, SX, England"
Houten,Netherlands,"Houten, Netherlands"
NA,England,"NA, England"
Hki,Finland,"Hki, Finland"
Stuttgart,Germany,"Stuttgart, Germany"
Zürich,Switzerland,"Zürich, Switzerland"
NA,Germany,"NA, Germany"
Novara,Italy,"Novara, Italy"
Zurich,Switzerland,"Zurich, Switzerland"
"Northampton, MA",United States,"Northampton, MA, United States"
"Washington, D.C",United States,"Washington, D.C, United States"
"Ashland, OR",United States,"Ashland, OR, United States"
Milano,Italy,"Milano, Italy"
"Gainesville, FL",United States,"Gainesville, FL, United States"
Leeeds,England,"Leeeds, England"
"Toronto, ON",Canada,"Toronto, ON, Canada"
"University of Miami, MIA",United States,"University of Miami, MIA, United States"
"Chapel Hill,NC",United States,"Chapel Hill,NC, United States"
"Sudbury, ON",Canada,"Sudbury, ON, Canada"
Edmonton,Canada,"Edmonton, Canada"
Heidelberg,Germany,"Heidelberg, Germany"
London,United Kingdom,"London, United Kingdom"
Kingston,Jamaica,#REF!
"Ann Arbor, MI",United States,"Kingston, United States"
Harlow,United Kingdom,"Harlow, United Kingdom"
"Westminster, LDN",United Kingdom,"Westminster, LDN, United Kingdom"
Edinburgh,England,"Edinburgh, England"
Paramaribo,Suriname,"Paramaribo, Suriname"
"Port Hawkesbury, NS",Canada,"Port Hawkesbury, NS, Canada"
Gloucester,England,"Gloucester, England"
"Princeton, NJ",United States,"Princeton, NJ, United States"
"West Port, CT",United States,"West Port, CT, United States"
"Cambridge, MA",United States,"Cambridge, MA, United States"
Vaduz,Liechtenstein,"Vaduz, Liechtenstein"
México City,Mexico,"México City, Mexico"
Santa Clara,Cuba,"Santa Clara, Cuba"
NA,Mexico,"NA, Mexico"
Saint Petersburg,Russia,"Saint Petersburg, Russia"
"Westport, CT",United States,"Westport, CT, United States"
"New Orleans, LA",United States,"New Orleans, LA, United States"
Galisteo,Spain,"Galisteo, Spain"
Castries,Cuba,"Castries, Cuba"
"Haarlem, NH",Netherlands,"Haarlem, NH, Netherlands"
"Vancouver, BC",Canada,"Vancouver, BC, Canada"
Bornheim,Germany,"Bornheim, Germany"
Sassari,Italy,"Sassari, Italy"
"Lake County, IL",United States,"Lake County, IL, United States"
"Nashville, TN",United States,"Nashville, TN, United States"
Kirklees,England,"Kirklees, England"
"Lanham, MD",United States,"Lanham, MD, United States"
"Detroit, MI",United States,"Detroit, MI, United States"
"Pittsburgh, PA",United States,"Pittsburgh, PA, United States"
"Old Westbury, NY",United States,"Old Westbury, NY, United States"
"Columbia, MO",United States,"Columbia, MO, United States"
"Eastford, CT",United States,"Eastford, CT, United States"
"Mineola, N.Y",United States,"Mineola, N.Y, United States"
"Victoria, BC",Canada,"Victoria, BC, Canada"
"Prince Frederick, MD",United States,"Prince Frederick, MD, United States"
Fontabelle,Barbados,"Fontabelle, Barbados"
"Winston-Salem, NC",United States,"Winston-Salem, NC, United States"
" New Haven, CT",United States," New Haven, CT, United States"
Petit-Bourg,Guadeloupe,"Petit-Bourg, Guadeloupe"
"Berkeley, CA",United States,"Berkeley, CA, United States"
Rome,Italy,"Rome, Italy"
"Chatham, NJ",United States,"Chatham, NJ, United States"
Auckland,New Zealand,"Auckland, New Zealand"
Moskva,Russia,"Moskva, Russia"
Edinburgh,Scotland,"Edinburgh, Scotland"
Quezon City,Philippines,"Quezon City, Philippines"
Bath,England,"Bath, England"
"Garden City, NY",United States,"Garden City, NY, United States"
"Tempe, AZ",United States,"Tempe, AZ, United States"
Ciego de Ávila,Cuba,"Ciego de Ávila, Cuba"
NA,Barbados,"NA, Barbados"
"Franklin Center, PA",United States,"Franklin Center, PA, United States"
Hamburg,Germany,"Hamburg, Germany"
Köln,Germany,"Köln, Germany"
Tel-Aviv,Israel,"Tel-Aviv, Israel"
Seoul,South Korea,"Seoul, South Korea"
Tehran,Iran,"Tehran, Iran"
Warszawa,Poland,"Warszawa, Poland"
Helsingissä,Finland,"Helsingissä, Finland"
"Helsingissä, Hki",Finland,"Helsingissä, Hki, Finland"
Tōkyō,Japan,"Tōkyō, Japan"
"Harmondsworth, LDN, LDN",England,"Harmondsworth, LDN, LDN, England"
Shīrāz,Iran,"Shīrāz, Iran"
Tallinn,Estonia,"Tallinn, Estonia"
Höganäs,Höganäs,"Höganäs, Höganäs"
Istanbul,Turkey,"Istanbul, Turkey"
Gornji Milanovac,Serbia,"Gornji Milanovac, Serbia"
"Cheyenne, WY",United States,"Cheyenne, WY, United States"
Dijon,France,"Dijon, France"
Sãu Paulo,Brazil,"Sãu Paulo, Brazil"
St. John's,Antigua & Barbuda,"St. John's, Antigua & Barbuda"
"Tuscon, AZ",United States,"Tuscon, AZ, United States"
"Kingston, JAM",Jamaica,"Kingston, JAM, Jamaica"
"Emeryville, CA",United States,"Emeryville, CA, United States"
Guadalajara,Mexico,"Guadalajara, Mexico"
Zürich,Switzerland,"Zürich, Switzerland"
Paris,France,#REF!
Bogotá,Colombia,"Bogotá, Colombia"
México City,Mexico,"México City, Mexico"
Alfragide,Portugal,"Alfragide, Portugal"
Kraków,Poland,"Kraków, Poland"
Lima,Peru,"Lima, Peru"
Zürich,Switszerland,"Zürich, Switszerland"
"Indianapolis, IN",United States,"Indianapolis, IN, United States"
"Princeton, NJ",New Jersey,"Princeton, NJ, New Jersey"
Yorkshire,England,"Yorkshire, England"
"Scotts Valley, CA",United States,"Scotts Valley, CA, United States"
"Los Gatos, CA",United States,"Los Gatos, CA, United States"
Oxford,United States,"Oxford, United States"
Breda,Netherlands,"Breda, Netherlands"
Den Haag,Netherlands,"Den Haag, Netherlands"
"Springfield, OH",United States,"Springfield, OH, United States"
Ambergate,England,"Ambergate, England"
"Brantford, ON",Canada,"Brantford, ON, Canada"
Bern,Switzerland,"Bern, Switzerland"
Riga,Latvia,"Riga, Latvia"
Lisbon,Portugal,"Lisbon, Portugal"
Stuggart,Germany,"Stuggart, Germany"
Reggio Emilia,Italy,"Reggio Emilia, Italy"
Napoli,Italy,"Napoli, Italy"
"New York, NY",New York,"New York, NY, New York"
Lund,Sweden,"Lund, Sweden"
Leipzig,Germany,"Leipzig, Germany"
"Stuart, FL",United States,"Stuart, FL, United States"
Lübeck,Germany,"Lübeck, Germany"
Santiago de Cuba,Cuba,"Santiago de Cuba, Cuba"
São Paulo,Brazil,"São Paulo, Brazil"
"Hygiene, CO",United States,"Hygiene, CO, United States"
Rennes,France,"Rennes, France"
"Edinburg, TX",United States,"Edinburg, TX, United States"
"Champaign, IL",United States,"Champaign, IL, United States"
Baghdad,Iraq,"Baghdad, Iraq"
Beijing,China,"Beijing, China"
"Freeport, NY",United States,"Freeport, NY, United States"
"North Stratford, NH",United States,"North Stratford, NH, United States"
München,Germany,"München, Germany"
Athens,Greece,"Athens, Greece"
The Hague,Netherlands,"The Hague, Netherlands"
Athena,Greece,"Athena, Greece"
Krakow,Poland,"Krakow, Poland"
Firenze,Italy,"Firenze, Italy"
St.Thomas,Virgin Islands,"St.Thomas, Virgin Islands"
Vienne,France,"Vienne, France"
Niort,France,"Niort, France"
"Cooperstown, NY",United States,"Cooperstown, NY, United States"
"City of Westminister, LDN",England,"City of Westminister, LDN, England"
"Pompano Beach, FL",United States,"Pompano Beach, FL, United States"
Jacmel,Haiti,"Jacmel, Haiti"
"Lewiston, ID",United States,"Lewiston, ID, United States"
"Newton, MA",United States,"Newton, MA, United States"
"Normal, IL",United States,"Normal, IL, United States"
Fredensborg,Denmark,"Fredensborg, Denmark"
"Angola, NY",United States,"Angola, NY, United States"
"San Franciso, CA",United States,"San Franciso, CA, United States"
"South Ozone Park, NY",United States,"South Ozone Park, NY, United States"
Caroni,Trinidad & Tobago,"Caroni, Trinidad & Tobago"
"Whitefish, MT",United States,"Whitefish, MT, United States"
"La Vergne, TN",United States,"La Vergne, TN, United States"
New Delhi,India,"New Delhi, India"
"Thorofare, NJ",United States,"Thorofare, NJ, United States"
"Lynn, MA",United States,"Lynn, MA, United States"
"Frankfurt, MD",Spain,"Frankfurt, MD, Spain"
Châlons,France,"Châlons, France"
"Austin, TX",United States,"Austin, TX, United States"
"San Francisco,CA",United States,"San Francisco,CA, United States"
Jerusalem,Israel,"Jerusalem, Israel"
NA,Haiti,"NA, Haiti"
Copenhagen,Denmark,#REF!
Barcelona,Spain,#REF!
NA,Poland,"NA, Poland"
Pittsburgh,United States,"Pittsburgh, United States"
Minneapolis,United States,"Minneapolis, United States"
Munchen,Germany,"Munchen, Germany"
Torino,Italy,"Torino, Italy"
Tartu,Estonia,"Tartu, Estonia"
"Kendrick, ID",United States,"Kendrick, ID, United States"
Benin City,Nigeria,"Benin City, Nigeria"
Abingdon,England,"Abingdon, England"
London,Europe,"London, Europe"
St. James,Barbados,"St. James, Barbados"
Saint Croix,Virgin Islands,"Saint Croix, Virgin Islands"
St. Peter,Barbados,"St. Peter, Barbados"
Rhyl,Wales,"Rhyl, Wales"
"Manhattan, NY",United States,"Manhattan, NY, United States"
Benque Viejo Del Carmen,Belize,"Benque Viejo Del Carmen, Belize"
"Easthampton, MA",United States,"Easthampton, MA, United States"
"Chico, CA",United States,"Chico, CA, United States"
"Buffalo, NY",United States,"Buffalo, NY, United States"
North Melbourne,Australia,"North Melbourne, Australia"
Norderstedt,Germany,"Norderstedt, Germany"
"Watertown, MA",United States,"Watertown, MA, United States"
"Brantford, ON","Brantford, ON","Brantford, ON, Brantford, ON"
Perros-Guirec,France,"Perros-Guirec, France"
"Durham, NC",United States,"Durham, NC, United States"
Quebec,Canada,"Quebec, Canada"
Léchelle,France,"Léchelle, France"
Montrouge,France,"Montrouge, France"
Barcarena,Portugal,"Barcarena, Portugal"
Taipei,Taiwan,"Taipei, Taiwan"
Tihrān,Iran,"Tihrān, Iran"
Baarn,Netherlands,"Baarn, Netherlands"
St. Mary,Jamaica,"St. Mary, Jamaica"
Gottingen,Germany,"Gottingen, Germany"
"Chelsea, VT",United States,"Chelsea, VT, United States"
"Nueva York, NY",United States,"Nueva York, NY, United States"
"North Andover, MA",United States,"North Andover, MA, United States"
"Columbus, OH",United States,"Columbus, OH, United States"
Philippines,Asia,"Philippines, Asia"
Brunswick,Australia,"Brunswick, Australia"
Denmark,Europe,"Denmark, Europe"
Daryaganj,India,"Daryaganj, India"
Thomaston,Maine,"Thomaston, Maine"
Le Mans,France,"Le Mans, France"
Bridgend,Wales,"Bridgend, Wales"
Haiti,Port-au-Prince,"Haiti, Port-au-Prince"
"Dallas, TX",United States,"Dallas, TX, United States"
Trier,Germany,"Trier, Germany"
Port-au-Prince,Haiti,#REF!
Sonora,Mexico,"Sonora, Mexico"
Carouge-Geneve,Switzerland,"Carouge-Geneve, Switzerland"
Ankara,Turkey,"Ankara, Turkey"
Erlandson,Denmark,"Erlandson, Denmark"
Muir of Ord,Scotland,"Muir of Ord, Scotland"
"Port Townsend, WA",United States,"Port Townsend, WA, United States"
"Fredericton, NB",Canada,"Fredericton, NB, Canada"
"Spartanburg, SC",United States,"Spartanburg, SC, United States"
Wuppertal,Germany,"Wuppertal, Germany"
Pessac,France,"Pessac, France"
Bussum,Netherlands,"Bussum, Netherlands"
"Mineola, NY",United States,"Mineola, NY, United States"
"Stratford, ON",Canada,"Stratford, ON, Canada"
"Waterloo, ON",Canada,"Waterloo, ON, Canada"
